complaint_id,split
C000262,train
C000256,train
C000661,train
C000180,train
C000189,train
C000041,train
C000820,train
C000376,train
C000944,train
C000648,train
C000001,train
C000423,train
C000163,train
C000851,train
C000668,train
C000511,train
C000697,train
C000135,train
C000418,train
C000067,train
C000919,train
C000007,train
C000124,train
C000165,train
C000349,train
C000368,train
C000389,train
C000462,train
C000621,train
C000039,train
C000766,train
C000091,train
C000624,train
C000491,train
C000310,train
C000734,train
C000967,train
C000424,train
C000479,train
C000210,train
C000750,train
C000073,train
C000637,train
C000251,train
C000444,train
C000457,train
C000211,train
C000268,train
C000605,train
C000990,train
C000627,train
C000910,train
C000282,train
C000579,train
C000689,train
C000046,train
C000477,train
C000400,train
C000252,train
C000590,train
C000687,train
C000458,train
C000665,train
C000281,train
C000191,train
C000059,train
C000618,train
C000293,train
C000442,train
C000308,train
C000965,train
C000192,train
C000456,train
C000439,train
C000775,train
C000145,train
C000346,train
C000451,train
C000036,train
C000084,train
C000220,train
C000214,train
C000580,train
C000955,train
C000339,train
C000551,train
C000675,train
C000499,train
C000846,train
C000893,train
C000143,train
C000693,train
C000285,train
C000571,train
C000410,train
C000316,train
C000074,train
C000941,train
C000929,train
C000232,train
C000253,train
C000449,train
C000190,train
C000159,train
C000187,train
C000340,train
C000888,train
C000247,train
C000670,train
C000377,train
C000549,train
C000743,train
C000106,train
C000437,train
C000835,train
C000109,train
C000398,train
C000053,train
C000130,train
C000433,train
C000062,train
C000683,train
C000895,train
C000814,train
C000112,train
C000744,train
C000300,train
C000672,train
C000783,train
C000521,train
C000704,train
C000904,train
C000755,train
C000708,train
C000635,train
C000142,train
C000606,train
C000510,train
C000981,train
C000664,train
C000397,train
C000950,train
C000969,train
C000066,train
C000286,train
C000614,train
C000573,train
C000994,train
C000770,train
C000027,train
C000867,train
C000921,train
C000532,train
C000113,train
C000726,train
C000134,train
C000361,train
C000782,train
C000623,train
C000760,train
C000273,train
C000865,train
C000249,train
C000102,train
C000931,train
C000297,train
C000283,train
C000751,train
C000761,train
C000709,train
C000974,train
C000378,train
C000560,train
C000366,train
C000141,train
C000323,train
C000655,train
C000239,train
C000681,train
C000434,train
C000553,train
C000385,train
C000622,train
C000574,train
C000810,train
C000868,train
C000083,train
C000071,train
C000805,train
C000320,train
C000028,train
C000660,train
C000275,train
C000466,train
C000255,train
C000155,train
C000296,train
C000372,train
C000386,train
C000948,train
C000849,train
C000096,train
C000985,train
C000604,train
C000619,train
C000428,train
C000061,train
C000195,train
C000587,train
C000193,train
C000200,train
C000468,train
C000894,train
C000426,train
C000401,train
C000278,train
C000147,train
C000645,train
C000432,train
