entity_id,state,city,latitude,longitude
ENT_000001,Bihar,Patna,25.566893,85.154509
ENT_000002,Delhi,Delhi,28.594525,77.225553
ENT_000003,Bihar,Patna,25.610947,85.140776
ENT_000004,Uttar Pradesh,Lucknow,26.841235,80.913286
ENT_000005,Delhi,Delhi,28.595186,77.216141
ENT_000006,Rajasthan,Jaipur,26.891319,75.797792
ENT_000007,Rajasthan,Jaipur,26.906766,75.783745
ENT_000008,Karnataka,Bengaluru,12.99326,77.560055
ENT_000009,Kerala,Kochi,9.907376,76.261883
ENT_000010,Karnataka,Bengaluru,12.947484,77.626605
ENT_000011,Telangana,Hyderabad,17.357155,78.478295
ENT_000012,Telangana,Hyderabad,17.409325,78.493961
ENT_000013,Kerala,Kochi,9.899242,76.26446
ENT_000014,Maharashtra,Mumbai,19.109118,72.869197
ENT_000015,Rajasthan,Jaipur,26.897922,75.796305
ENT_000016,Punjab,Chandigarh,30.758619,76.784815
ENT_000017,Odisha,Bhubaneswar,20.265969,85.835788
ENT_000018,Kerala,Kochi,9.916457,76.237885
ENT_000019,Delhi,Delhi,28.639554,77.200609
ENT_000020,Gujarat,Ahmedabad,23.031998,72.561938
ENT_000021,Telangana,Hyderabad,17.374869,78.498612
ENT_000022,Odisha,Bhubaneswar,20.326666,85.834862
ENT_000023,Uttar Pradesh,Lucknow,26.856148,80.94859
ENT_000024,Delhi,Delhi,28.590338,77.200562
ENT_000025,Punjab,Chandigarh,30.7431,76.783386
ENT_000026,Bihar,Patna,25.5818,85.156382
ENT_000027,West Bengal,Kolkata,22.553633,88.331147
ENT_000028,Telangana,Hyderabad,17.378082,78.456333
ENT_000029,Punjab,Chandigarh,30.764304,76.805746
ENT_000030,Telangana,Hyderabad,17.364884,78.486646
ENT_000031,Punjab,Chandigarh,30.762318,76.77652
ENT_000032,Karnataka,Bengaluru,12.946374,77.611749
ENT_000033,Rajasthan,Jaipur,26.895792,75.793221
ENT_000034,Punjab,Chandigarh,30.739147,76.76974
ENT_000035,Maharashtra,Pune,18.521067,73.828064
ENT_000036,West Bengal,Kolkata,22.597877,88.339599
ENT_000037,Maharashtra,Pune,18.540846,73.851251
ENT_000038,Maharashtra,Mumbai,19.067934,72.884412
ENT_000039,Gujarat,Ahmedabad,23.024538,72.604375
ENT_000040,Madhya Pradesh,Bhopal,23.29087,77.42522
ENT_000041,Maharashtra,Mumbai,19.08872,72.880288
ENT_000042,Karnataka,Bengaluru,12.990402,77.583412
ENT_000043,Karnataka,Bengaluru,12.967034,77.591361
ENT_000044,Odisha,Bhubaneswar,20.32241,85.807937
ENT_000045,Rajasthan,Jaipur,26.930737,75.787838
ENT_000046,Maharashtra,Mumbai,19.101936,72.863591
ENT_000047,Bihar,Patna,25.594636,85.116524
ENT_000048,Telangana,Hyderabad,17.403376,78.489457
ENT_000049,Kerala,Kochi,9.96077,76.296595
ENT_000050,Uttar Pradesh,Lucknow,26.834391,80.912563
ENT_000051,Punjab,Chandigarh,30.723709,76.813372
ENT_000052,Kerala,Kochi,9.917726,76.236355
ENT_000053,Punjab,Chandigarh,30.738015,76.749913
ENT_000054,Odisha,Bhubaneswar,20.295119,85.794345
ENT_000055,Kerala,Kochi,9.933489,76.241103
ENT_000056,Bihar,Patna,25.59237,85.141086
ENT_000057,Karnataka,Bengaluru,12.973537,77.602062
ENT_000058,Delhi,Delhi,28.643924,77.226869
ENT_000059,Odisha,Bhubaneswar,20.275181,85.81132
ENT_000060,Bihar,Patna,25.604591,85.133267
ENT_000061,Rajasthan,Jaipur,26.909004,75.769653
ENT_000062,Maharashtra,Mumbai,19.064666,72.883882
ENT_000063,Delhi,Delhi,28.620091,77.174503
ENT_000064,Odisha,Bhubaneswar,20.305277,85.805526
ENT_000065,Punjab,Chandigarh,30.700499,76.76753
ENT_000066,Rajasthan,Jaipur,26.89406,75.799128
ENT_000067,Delhi,Delhi,28.616646,77.224635
ENT_000068,Punjab,Chandigarh,30.738273,76.777487
ENT_000069,Kerala,Kochi,9.929308,76.260794
ENT_000070,Maharashtra,Mumbai,19.047785,72.872874
ENT_000071,Tamil Nadu,Chennai,13.076477,80.296169
ENT_000072,West Bengal,Kolkata,22.584736,88.397792
ENT_000073,Maharashtra,Mumbai,19.045243,72.893675
ENT_000074,Kerala,Kochi,9.956517,76.249706
ENT_000075,Delhi,Delhi,28.61644,77.183813
ENT_000076,Maharashtra,Pune,18.504898,73.839186
ENT_000077,Punjab,Chandigarh,30.703577,76.800962
