complaint_id,embedding_001,embedding_002,embedding_003,embedding_004,embedding_005,embedding_006,embedding_007,embedding_008,embedding_009,embedding_010,embedding_011,embedding_012,embedding_013,embedding_014,embedding_015,embedding_016,embedding_017,embedding_018,embedding_019,embedding_020,embedding_021,embedding_022,embedding_023,embedding_024,embedding_025,embedding_026,embedding_027,embedding_028,embedding_029,embedding_030,embedding_031,embedding_032,embedding_033,embedding_034,embedding_035,embedding_036,embedding_037,embedding_038,embedding_039,embedding_040,embedding_041,embedding_042,embedding_043,embedding_044,embedding_045,embedding_046,embedding_047,embedding_048,embedding_049,embedding_050,embedding_051,embedding_052,embedding_053,embedding_054,embedding_055,embedding_056,embedding_057,embedding_058,embedding_059,embedding_060,embedding_061,embedding_062,embedding_063,embedding_064
C000001,0.81192553,0.0,0.0,0.0,2.434763,0.0,0.38136184,2.8160632,0.0,0.36757368,0.0,0.0,3.3519561,2.7065053,3.4208841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9609574,0.0,0.0,2.6066117,2.7208223,3.1430125,0.0,2.8064985,0.0,0.0,0.0,2.8606148,0.45947284,0.729168,2.1429167,2.3953414,0.0,0.0,1.5574709,0.0,2.140359,2.5853722,0.0,3.0873787,0.0,0.13060932,4.0913877,3.086752,0.0,1.8114393,0.0,0.0,0.11778076,2.9736452,2.4173107,0.0,0.0,2.1173444,0.0,2.1745746,0.0,0.0
C000002,0.85187376,0.0,0.0,0.0,2.3951418,0.0,0.51540446,2.8897712,0.0,0.3729614,0.0,0.0,3.4748118,2.846291,3.5000918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0063384,0.0,0.0,2.6370356,2.7659357,3.2906575,0.0,2.9446623,0.0,0.0,0.0,3.0051339,0.40795586,0.75328666,2.1623416,2.3893707,0.0,0.0,1.627619,0.0,2.1012146,2.770747,0.0,3.074599,0.0,0.10715943,4.174026,3.107446,0.0,1.8593423,0.0,0.0,0.099665426,2.9958189,2.481642,0.0,0.0,2.2577531,0.0,2.25651,0.0,0.0
C000003,0.036259193,0.0,2.639361,2.9322863,2.5666645,1.2402685,3.502799,0.5024647,3.0821598,0.0,1.9245987,3.3881426,1.3984874,1.0418499,1.0803527,0.0,2.9293234,2.026138,3.4361613,0.0,0.0,0.0,0.42338714,0.0,2.4270253,1.0201687,0.67450875,0.95563,0.009909433,1.0560651,2.6512766,0.0,2.723916,1.0618536,3.4618378,3.3831542,3.3710434,2.2675302,0.012847848,3.3215554,3.5263684,0.0,0.62711346,0.69243497,3.3273141,2.0261405,2.1270006,0.0025024873,1.0411092,0.9045077,2.8484986,3.2216656,2.5309143,2.896269,0.0,2.5695455,0.6764814,3.8447037,2.9184563,3.5803387,0.0,0.31618428,0.014484462,2.505789
C000004,0.10099598,0.0,0.0,0.5662348,2.4735448,0.0,0.9806576,1.7041886,0.06783303,0.102459155,0.0,0.078700736,2.6059287,2.5353758,2.6745167,0.0,0.0,0.0,0.02989018,0.0,0.0,0.0,1.46467,0.0,0.0,2.5035872,1.946723,2.115564,0.0,2.3332071,0.0,0.0,0.0,2.8494077,1.3750038,1.4284252,2.4225335,2.3753974,0.0,0.5611726,1.690226,0.0,1.689064,2.0486143,0.23992647,3.1082103,0.0,0.06648692,2.9891338,2.214899,0.0,2.0300303,0.0,0.26813734,0.0,2.4689412,2.005204,0.43508905,0.5103064,2.2859178,0.0,1.3293172,0.0,0.016749071
C000005,0.75878924,0.0,0.0,0.0,2.4793167,0.0,0.21373546,2.7229314,0.0,0.3695552,0.0,0.0,3.1938734,2.5259542,3.330097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8973203,0.0,0.0,2.5743856,2.6707563,2.951527,0.0,2.6225448,0.0,0.0,0.0,2.6697898,0.5324346,0.70921063,2.1225028,2.4023447,0.0,0.0,1.4630224,0.0,2.203078,2.3481114,0.0,3.1048453,0.0,0.15907115,3.9803672,3.0599957,0.0,1.7442949,0.0,0.0,0.14499202,2.940943,2.3322673,0.0,0.0,1.9427671,0.0,2.0827994,0.0,0.0
C000006,0.256454,0.0,0.0,0.25540167,2.6560485,0.0,0.5210484,2.1850948,0.0,0.08889523,0.0,0.0,2.753378,2.6666043,3.0623734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6321776,0.0,0.0,2.728313,2.4166775,2.5096169,0.0,2.4557667,0.0,0.0,0.0,2.7643313,1.178005,1.2521824,2.3017325,2.5585392,0.0,0.3004923,1.5847414,0.0,2.0438905,2.0582442,0.19203119,3.3151274,0.0,0.11716369,3.3950934,2.6719372,0.0,1.9151576,0.0,0.0,0.03877928,2.6780312,2.2017336,0.14881222,0.10127397,2.121436,0.0,1.6349845,0.0,0.0
C000007,0.82522357,0.0,0.0,0.0,2.4228733,0.0,0.4242538,2.839795,0.0,0.36788598,0.0,0.0,3.391989,2.7521572,3.4448776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9765782,0.0,0.0,2.6154144,2.7342253,3.1913562,0.0,2.8525069,0.0,0.0,0.0,2.9084718,0.44159377,0.735225,2.1484883,2.3935044,0.0,0.0,1.5810004,0.0,2.125602,2.6455722,0.0,3.0830424,0.0,0.12323865,4.119076,3.0935109,0.0,1.8279376,0.0,0.0,0.11124973,2.9815338,2.4386315,0.0,0.0,2.1621108,0.0,2.199076,0.0,0.0
C000008,0.29436168,0.0,0.0,0.1918191,2.5615277,0.0,0.5533844,2.2339318,0.0,0.11361434,0.0,0.0,2.822296,2.6749432,3.059232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6929946,0.0,0.0,2.6918366,2.3714614,2.5083766,0.0,2.498499,0.0,0.0,0.0,2.8062181,1.068616,1.208498,2.286189,2.4931183,0.0,0.23146495,1.5789207,0.0,2.010851,2.193379,0.16890645,3.2659926,0.0,0.11579405,3.4671617,2.698138,0.0,1.902389,0.0,0.002282383,0.051888764,2.6883075,2.2201586,0.083851576,0.061777204,2.0923152,0.0,1.6999129,0.0,0.0
C000009,0.1507179,0.0,0.0,0.27892074,2.5468047,0.0,0.91068673,2.0576909,0.0,0.1425894,0.0,0.0,2.8513489,2.840004,2.9911385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6759685,0.0,0.0,2.7293541,2.3183737,2.486025,0.0,2.5202181,0.0,0.0,0.0,3.138497,1.1596498,1.3560582,2.3749523,2.4274771,0.0,0.34226966,1.6652852,0.0,1.9125711,2.2574744,0.112548925,3.3346808,0.0,0.07082609,3.3846648,2.5608118,0.0,1.9617329,0.0,0.1440931,0.03466814,2.537444,2.2502015,0.17180733,0.21278124,2.3373861,0.0,1.5895783,0.0,0.0
C000010,0.83856124,0.0,0.0,0.0,2.408927,0.0,0.46984002,2.8647552,0.0,0.3704064,0.0,0.0,3.4334235,2.799214,3.4724145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.991411,0.0,0.0,2.6262555,2.7500503,3.2409885,0.0,2.898572,0.0,0.0,0.0,2.9567432,0.4247026,0.7442014,2.1553388,2.3914328,0.0,0.0,1.604305,0.0,2.1133664,2.7081897,0.0,3.078786,0.0,0.11516996,4.1465816,3.1004596,0.0,1.8436484,0.0,0.0,0.105462104,2.9886374,2.460117,0.0,0.0,2.209946,0.0,2.2278347,0.0,0.0
C000011,0.31516218,0.0,0.0,0.41404682,2.7995052,0.0,0.90680045,2.4198818,0.0,0.23785937,0.0,0.0,3.1855223,2.9292176,3.2700057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9149623,0.0,0.0,3.01405,2.5275424,2.647182,0.014855191,2.6662455,0.0,0.0,0.0,3.3313856,0.99653506,1.2303361,2.4630003,2.6969995,0.0,0.26129138,1.7480738,0.0,2.1254153,2.540483,0.0,3.5766366,0.0,0.06759522,3.9820757,2.9407887,0.0,2.187831,0.0,0.023690108,0.06608265,2.89016,2.370636,0.23237279,0.16361922,2.4257345,0.0,1.8996277,0.0,0.0
C000012,0.8647024,0.0,0.0,0.0,2.384473,0.0,0.56054735,2.9158762,0.0,0.37618676,0.0,0.0,3.5153084,2.893761,3.5304735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0231228,0.0,0.0,2.6466322,2.7829928,3.3410366,0.0,2.9912567,0.0,0.0,0.0,3.0558143,0.3940068,0.76448125,2.1723015,2.3874998,0.0,0.0,1.6511025,0.0,2.0906887,2.8321166,0.0,3.0717545,0.0,0.10027614,4.2002554,3.1151469,0.0,1.8747122,0.0,0.0,0.093690306,3.0045085,2.5039296,0.0,0.0,2.3050115,0.0,2.2835693,0.0,0.0
C000013,0.14163531,0.0,0.0,0.65968347,2.7035944,0.0,0.960936,1.7813932,0.19468985,0.055869933,0.0,0.43827033,2.6272478,2.5508718,2.8327663,0.0,0.18888853,0.07925276,0.041034784,0.0,0.0,0.0,1.4418516,0.0,0.0087810755,2.570497,2.224333,2.2726471,0.014606993,2.3176725,0.13578577,0.0,0.010403712,2.929242,1.4326223,1.4840771,2.3944683,2.4962816,0.0,0.7956199,1.734943,0.0,1.8512301,1.8130836,0.19479208,3.2179317,0.0,0.11146147,3.0986335,2.412059,0.02981089,2.0199544,0.0,0.49667624,0.038326945,2.5030339,1.866733,0.674527,0.46769714,2.449674,0.0,1.2676059,0.0,0.0
C000014,0.0015656261,0.0,3.1726336,3.6917818,2.8486776,1.097008,3.8560681,0.4329492,3.8451872,0.0,2.4213173,4.2148886,1.4829402,1.0232111,1.1943152,0.0,3.8208766,2.4667003,4.336742,0.009979095,0.0,0.0,0.32662356,0.00040481673,2.9748912,0.80872846,0.4738448,0.6787572,0.07041156,1.1187557,3.1961257,0.03206583,3.4931812,0.78461814,4.3475704,3.7889922,3.9355803,2.5051389,0.0017191605,3.8163834,4.2130814,0.0,0.37847123,0.7302889,3.911928,2.3312826,2.646382,0.0038940173,1.0249267,0.54182166,3.5494661,3.728837,3.1280563,3.605103,0.0,2.9750664,0.5570373,4.7414265,3.6599498,4.307264,0.0,0.36137486,0.025433071,3.417743
C000015,0.81192553,0.0,0.0,0.0,2.434763,0.0,0.38136184,2.8160632,0.0,0.36757368,0.0,0.0,3.3519561,2.7065053,3.4208841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9609574,0.0,0.0,2.6066117,2.7208223,3.1430125,0.0,2.8064985,0.0,0.0,0.0,2.8606148,0.45947284,0.729168,2.1429167,2.3953414,0.0,0.0,1.5574709,0.0,2.140359,2.5853722,0.0,3.0873787,0.0,0.13060932,4.0913877,3.086752,0.0,1.8114393,0.0,0.0,0.11778076,2.9736452,2.4173107,0.0,0.0,2.1173444,0.0,2.1745746,0.0,0.0
C000016,0.015637212,0.0,3.290149,3.9102657,3.3252327,0.8881672,4.6513247,0.62560415,4.383035,0.0,2.7036505,4.605652,1.8950872,1.522905,1.9433295,0.0,4.361902,2.8562245,4.6742315,0.028081188,0.0,0.0,0.80166876,0.0,3.3729599,0.99187785,0.5711019,1.1213332,0.00017412603,1.8723952,3.7836082,0.035417415,3.6053035,1.1070613,5.2670083,4.4182777,4.45398,3.2245116,0.0,4.4311666,5.043275,0.0,0.35547465,1.173202,4.2229123,3.257465,2.752828,0.012998223,1.5926136,0.68599206,3.916942,4.551221,3.247398,3.9004803,0.0,3.9195626,1.2441189,4.811856,4.4631057,4.758028,0.0,0.58460766,0.0259998,3.3355956
C000017,0.31577638,0.0,0.0,0.3423129,2.7069888,0.0,0.9384429,2.4544039,0.0,0.2577665,0.0,0.0,3.1845226,2.9947314,3.2863293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9006315,0.0,0.0,2.9896698,2.5211458,2.699897,0.0039002895,2.6825976,0.0,0.0,0.0,3.3483307,0.9796355,1.2204578,2.4337506,2.6461306,0.0,0.22167318,1.7337495,0.0,2.0775213,2.6291933,0.0,3.5144272,0.0,0.04857513,3.970694,2.9120533,0.0,2.1525843,0.0,0.035275973,0.06653151,2.8611498,2.393702,0.18843764,0.14087488,2.4250553,0.0,1.901902,0.0,0.0
C000018,0.77207345,0.0,0.0,0.0,2.4681783,0.0,0.2556421,2.7462149,0.0,0.36905974,0.0,0.0,3.233394,2.5710921,3.3527937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9132297,0.0,0.0,2.5824418,2.6832728,2.9993985,0.0,2.6685328,0.0,0.0,0.0,2.7174962,0.5141943,0.7142001,2.1276064,2.4005938,0.0,0.0,1.4866344,0.0,2.1873984,2.4074266,0.0,3.100478,0.0,0.15195575,4.0081224,3.0666845,0.0,1.7610809,0.0,0.0,0.13818929,2.9491186,2.3535283,0.0,0.0,1.9864116,0.0,2.1057432,0.0,0.0
C000019,0.34915528,0.0,0.0,0.13482527,2.5066333,0.0,0.6133727,2.294539,0.0,0.12491806,0.0,0.0,2.9112184,2.7057908,3.0945091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7511911,0.0,0.0,2.676339,2.316702,2.5204115,0.0,2.5712688,0.0,0.0,0.0,2.8953493,1.0039774,1.194771,2.3045473,2.4687881,0.0,0.18251051,1.6001242,0.0,1.9771926,2.3493614,0.13862012,3.2546465,0.0,0.13497992,3.5571473,2.7161775,0.0,1.9343803,0.0,0.060293864,0.05062739,2.7198293,2.2605658,0.046311818,0.045032866,2.1023355,0.0,1.7611818,0.0,0.0
