complaint_id,incident_entity_id,incident_time,window_start,window_end,num_nodes,num_edges,num_account_nodes,num_atm_nodes,num_terminal_nodes,max_hop,total_transaction_value,max_transaction_value,avg_transaction_value,num_cash_out_edges,in_degree_incident,out_degree_incident,density,number_of_connected_components,average_degree,contains_suspicious_activity,suspicious_ring_count
C000001,ENT_000090,2026-07-20 00:00:00,2026-07-17 00:00:00,2026-07-23 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000002,ENT_000451,2026-01-11 00:00:00,2026-01-08 00:00:00,2026-01-14 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000003,ENT_000325,2026-04-22 00:00:00,2026-04-19 00:00:00,2026-04-25 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000004,ENT_000493,2026-06-02 00:00:00,2026-05-30 00:00:00,2026-06-05 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000005,ENT_000650,2026-06-07 00:00:00,2026-06-04 00:00:00,2026-06-10 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000006,ENT_000669,2026-01-06 00:00:00,2026-01-03 00:00:00,2026-01-09 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000007,ENT_000487,2026-04-26 00:00:00,2026-04-23 00:00:00,2026-04-29 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000008,ENT_000630,2026-05-07 00:00:00,2026-05-04 00:00:00,2026-05-10 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000009,ENT_000659,2026-02-02 00:00:00,2026-01-30 00:00:00,2026-02-05 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000010,ENT_000348,2026-07-07 00:00:00,2026-07-04 00:00:00,2026-07-10 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000011,ENT_000467,2026-04-20 00:00:00,2026-04-17 00:00:00,2026-04-23 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000012,ENT_000220,2026-08-22 00:00:00,2026-08-19 00:00:00,2026-08-25 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000013,ENT_000461,2026-05-04 00:00:00,2026-05-01 00:00:00,2026-05-07 00:00:00,3,2,3,0,0,2,47600.7,44546.66,23800.35,0,0,1,0.333333,1,1.3333,0,0
C000014,ENT_000292,2026-06-01 00:00:00,2026-05-29 00:00:00,2026-06-04 00:00:00,2,1,1,1,1,1,95538.1,95538.1,95538.1,1,0,1,0.5,1,1.0,1,1
C000015,ENT_000252,2026-04-29 00:00:00,2026-04-26 00:00:00,2026-05-02 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000016,ENT_000598,2026-01-14 00:00:00,2026-01-11 00:00:00,2026-01-17 00:00:00,2,1,2,0,0,1,1996.29,1996.29,1996.29,0,0,1,0.5,1,1.0,0,0
C000017,ENT_000676,2026-07-09 00:00:00,2026-07-06 00:00:00,2026-07-12 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000018,ENT_000610,2026-06-15 00:00:00,2026-06-12 00:00:00,2026-06-18 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000019,ENT_000534,2026-08-02 00:00:00,2026-07-30 00:00:00,2026-08-05 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000020,ENT_000659,2026-05-09 00:00:00,2026-05-06 00:00:00,2026-05-12 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000021,ENT_000201,2026-05-27 00:00:00,2026-05-24 00:00:00,2026-05-30 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000022,ENT_000458,2026-03-21 00:00:00,2026-03-18 00:00:00,2026-03-24 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000023,ENT_000658,2026-03-08 00:00:00,2026-03-05 00:00:00,2026-03-11 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000024,ENT_000425,2026-03-30 00:00:00,2026-03-27 00:00:00,2026-04-02 00:00:00,5,4,4,1,1,2,479643.35,403355.82,119910.84,1,0,2,0.2,1,1.6,1,1
C000025,ENT_000072,2026-02-02 00:00:00,2026-01-30 00:00:00,2026-02-05 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000026,ENT_000371,2026-07-22 00:00:00,2026-07-19 00:00:00,2026-07-25 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000027,ENT_000548,2026-04-22 00:00:00,2026-04-19 00:00:00,2026-04-25 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000028,ENT_000640,2026-02-14 00:00:00,2026-02-11 00:00:00,2026-02-17 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000029,ENT_000665,2026-03-01 00:00:00,2026-02-26 00:00:00,2026-03-04 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000030,ENT_000063,2026-01-14 00:00:00,2026-01-11 00:00:00,2026-01-17 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000031,ENT_000593,2026-06-29 00:00:00,2026-06-26 00:00:00,2026-07-02 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000032,ENT_000378,2026-03-19 00:00:00,2026-03-16 00:00:00,2026-03-22 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000033,ENT_000242,2026-05-24 00:00:00,2026-05-21 00:00:00,2026-05-27 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000034,ENT_000219,2026-03-21 00:00:00,2026-03-18 00:00:00,2026-03-24 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000035,ENT_000387,2026-04-18 00:00:00,2026-04-15 00:00:00,2026-04-21 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000036,ENT_000532,2026-01-28 00:00:00,2026-01-25 00:00:00,2026-01-31 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000037,ENT_000237,2026-08-03 00:00:00,2026-07-31 00:00:00,2026-08-06 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000038,ENT_000483,2026-02-02 00:00:00,2026-01-30 00:00:00,2026-02-05 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000039,ENT_000466,2026-05-04 00:00:00,2026-05-01 00:00:00,2026-05-07 00:00:00,2,1,2,0,0,1,316987.91,316987.91,316987.91,0,0,1,0.5,1,1.0,0,0
C000040,ENT_000453,2026-08-09 00:00:00,2026-08-06 00:00:00,2026-08-12 00:00:00,2,1,2,0,0,1,1244.96,1244.96,1244.96,0,0,1,0.5,1,1.0,0,0
C000041,ENT_000013,2026-01-17 00:00:00,2026-01-14 00:00:00,2026-01-20 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000042,ENT_000406,2026-04-24 00:00:00,2026-04-21 00:00:00,2026-04-27 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000043,ENT_000351,2026-04-14 00:00:00,2026-04-11 00:00:00,2026-04-17 00:00:00,2,1,2,0,0,1,2832.49,2832.49,2832.49,0,0,1,0.5,1,1.0,0,0
C000044,ENT_000677,2026-05-15 00:00:00,2026-05-12 00:00:00,2026-05-18 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000045,ENT_000109,2026-04-17 00:00:00,2026-04-14 00:00:00,2026-04-20 00:00:00,2,1,2,0,0,1,2513.52,2513.52,2513.52,0,0,1,0.5,1,1.0,0,0
C000046,ENT_000108,2026-08-11 00:00:00,2026-08-08 00:00:00,2026-08-14 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000047,ENT_000185,2026-01-06 00:00:00,2026-01-03 00:00:00,2026-01-09 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000048,ENT_000047,2026-06-27 00:00:00,2026-06-24 00:00:00,2026-06-30 00:00:00,5,4,5,0,0,3,911769.74,309967.24,227942.43,0,0,1,0.2,1,1.6,1,1
C000049,ENT_000439,2026-06-06 00:00:00,2026-06-03 00:00:00,2026-06-09 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000050,ENT_000080,2026-01-07 00:00:00,2026-01-04 00:00:00,2026-01-10 00:00:00,3,2,2,1,1,1,87380.7,49904.9,43690.35,1,0,2,0.333333,1,1.3333,0,0
C000051,ENT_000459,2026-07-26 00:00:00,2026-07-23 00:00:00,2026-07-29 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000052,ENT_000520,2026-01-25 00:00:00,2026-01-22 00:00:00,2026-01-28 00:00:00,2,1,2,0,0,1,171.05,171.05,171.05,0,0,1,0.5,1,1.0,0,0
C000053,ENT_000417,2026-05-06 00:00:00,2026-05-03 00:00:00,2026-05-09 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000054,ENT_000165,2026-05-17 00:00:00,2026-05-14 00:00:00,2026-05-20 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
C000055,ENT_000040,2026-01-17 00:00:00,2026-01-14 00:00:00,2026-01-20 00:00:00,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0,0
