epoch,train_loss,validation_loss,validation_f1,validation_roc_auc
1,0.804352,0.673494,0.4022,0.9564
2,0.607111,0.521076,0.5401,0.9627
3,0.465975,0.395035,0.6491,0.9685
4,0.338944,0.273358,0.8182,0.9728
5,0.240196,0.19529,0.8,0.9755
6,0.174398,0.162349,0.7727,0.9783
7,0.147712,0.140084,0.7907,0.9831
8,0.132882,0.130107,0.7727,0.9861
9,0.129472,0.125953,0.764,0.9867
10,0.120234,0.116624,0.8,0.9881
11,0.119636,0.114777,0.7907,0.9881
12,0.123779,0.112462,0.7907,0.9884
13,0.117437,0.117085,0.7955,0.9884
14,0.105506,0.111011,0.8608,0.9881
15,0.110653,0.113731,0.7955,0.9887
16,0.111714,0.107657,0.8095,0.9887
17,0.108692,0.106369,0.8095,0.9891
18,0.106953,0.105571,0.814,0.9892
19,0.104448,0.103693,0.8333,0.9901
20,0.098796,0.104328,0.814,0.9902
21,0.101837,0.101694,0.8193,0.9899
22,0.096243,0.102558,0.814,0.9904
23,0.099718,0.099677,0.8333,0.9909
24,0.094735,0.099455,0.8333,0.991
25,0.097615,0.097908,0.8642,0.9912
26,0.100067,0.100548,0.8276,0.991
27,0.096399,0.09654,0.8642,0.9907
28,0.09697,0.097116,0.8235,0.9912
29,0.090316,0.095279,0.8642,0.9914
30,0.088818,0.095412,0.8235,0.9914
31,0.089871,0.093658,0.8642,0.9919
32,0.09435,0.093471,0.8537,0.9919
33,0.089597,0.093491,0.8333,0.9917
34,0.086175,0.092463,0.8642,0.9922
35,0.087705,0.092555,0.875,0.9922
36,0.090274,0.091333,0.8537,0.9922
37,0.094135,0.090942,0.8537,0.9924
38,0.088841,0.092041,0.8333,0.992
39,0.082561,0.089818,0.875,0.9925
40,0.083634,0.088808,0.875,0.9927
41,0.081112,0.087829,0.8861,0.9927
42,0.083254,0.088325,0.8675,0.9927
43,0.078834,0.087154,0.8537,0.9929
44,0.084809,0.087705,0.8537,0.9925
45,0.084093,0.087693,0.8642,0.9934
46,0.077806,0.087679,0.875,0.9932
47,0.073209,0.086466,0.878,0.9932
48,0.07216,0.086607,0.8861,0.9935
49,0.072193,0.085494,0.8861,0.9939
50,0.067845,0.086199,0.8861,0.9935
51,0.073698,0.084579,0.875,0.9937
52,0.073439,0.086535,0.8861,0.994
53,0.072968,0.083353,0.8889,0.9942
54,0.068737,0.085358,0.8861,0.994
55,0.077302,0.084688,0.8675,0.9939
56,0.068416,0.088952,0.9091,0.9937
57,0.069252,0.082631,0.878,0.9934
58,0.073972,0.083576,0.8861,0.9932
59,0.069914,0.082755,0.9,0.994
60,0.061477,0.087718,0.9091,0.9937
61,0.065406,0.080813,0.8889,0.9935
62,0.064215,0.083607,0.9,0.9937
63,0.064426,0.081337,0.8889,0.9935
64,0.063188,0.082894,0.9,0.9937
65,0.070978,0.08058,0.8889,0.9939
66,0.079119,0.085009,0.8974,0.9937
67,0.069633,0.081737,0.8889,0.9937
68,0.064034,0.085923,0.8974,0.9939
69,0.07061,0.081272,0.9,0.9939
70,0.063123,0.081914,0.9,0.9939
71,0.056174,0.082331,0.9,0.9935
72,0.061448,0.081163,0.8889,0.9937
73,0.066512,0.084931,0.9114,0.9937
74,0.056791,0.079247,0.878,0.994
75,0.057327,0.092756,0.9091,0.9939
76,0.058316,0.080928,0.9114,0.9944
77,0.058421,0.080773,0.9114,0.9942
78,0.060736,0.080352,0.9,0.9942
79,0.057077,0.081978,0.9114,0.9945
80,0.055582,0.081293,0.9114,0.9942
81,0.059916,0.078452,0.9,0.994
82,0.063529,0.083687,0.9114,0.9944
83,0.055063,0.080755,0.9114,0.9947
84,0.051311,0.078844,0.9114,0.9945
85,0.05544,0.087624,0.9114,0.9952
86,0.050246,0.078821,0.9114,0.9954
87,0.04617,0.076931,0.9114,0.9955
88,0.051127,0.077321,0.9114,0.9955
89,0.050113,0.079307,0.9114,0.9955
90,0.05113,0.075117,0.9,0.995
91,0.049626,0.083305,0.9114,0.9955
92,0.04004,0.077911,0.9114,0.9955
93,0.042179,0.077567,0.9114,0.9959
