subgraph_id,seed_account,contains_laundering,graphsage_probability,confidence_tier,structural_signals_count,num_nodes,num_edges,total_flow,num_terminal_sinks
IBM_POS_0001,B23402_8022CFF00,1,0.1483,NORMAL,2,16,46,22329875.14,9
IBM_POS_0002,B22758_808098770,1,0.9617,HIGH_CONFIDENCE,2,11,40,382353.66,1
IBM_POS_0003,B28531_80A709C90,1,0.7353,MEDIUM_CONFIDENCE,1,6,20,72391.89,1
IBM_POS_0004,B1267_8038F4190,1,0.9557,HIGH_CONFIDENCE,2,2,6,114318.22,1
IBM_POS_0005,B3051_806A3D750,1,0.9866,HIGH_CONFIDENCE,2,11,40,1200101.32,2
IBM_POS_0006,B3149_801BB70D0,1,0.9948,HIGH_CONFIDENCE,2,2,4,11433.36,1
IBM_POS_0007,B214050_80537F610,1,0.9948,HIGH_CONFIDENCE,2,2,4,1357978.94,1
IBM_POS_0008,B29794_81358BC60,1,0.9433,HIGH_CONFIDENCE,2,13,38,326153.19,2
IBM_POS_0009,B122545_80AAA1FE0,1,0.9948,HIGH_CONFIDENCE,2,2,4,39011.12,1
IBM_POS_0010,B118_811BCD660,1,0.5872,MEDIUM_CONFIDENCE,2,19,67,40635174.56,9
IBM_POS_0011,B6179_809BBC7B0,1,1.0,HIGH_CONFIDENCE,3,21554,91311,85624816686.83,8519
IBM_POS_0012,B148350_812D0C3C0,1,0.1713,NORMAL,1,13,45,4247240.43,6
IBM_POS_0013,B1024_8009FD760,1,0.8963,HIGH_CONFIDENCE,2,6,19,222573.46,1
IBM_POS_0014,B16_805CAD3F0,1,0.4437,NORMAL,1,4,16,39081659.93,0
IBM_POS_0015,B10_800119810,1,0.4242,NORMAL,4,249,914,285896030.24,143
IBM_POS_0016,B20_803892E30,1,0.6585,MEDIUM_CONFIDENCE,4,43,203,96322431.77,11
IBM_POS_0017,B148348_81235EE30,1,0.5597,MEDIUM_CONFIDENCE,3,53,155,19299180.09,20
IBM_POS_0018,B25113_8095F9B40,1,0.9948,HIGH_CONFIDENCE,2,2,4,36346.54,1
IBM_POS_0019,B243897_81006C920,1,0.5363,MEDIUM_CONFIDENCE,3,22,99,36978180.1,3
IBM_POS_0020,B1_8006FA4B0,1,1.0,HIGH_CONFIDENCE,4,14398,54117,35997541146.44,7488
IBM_POS_0021,B22806_807A61380,1,0.6475,MEDIUM_CONFIDENCE,2,8,27,627990.06,1
IBM_POS_0022,B220271_81114D580,1,0.9287,HIGH_CONFIDENCE,2,3,4,40077.36,1
IBM_POS_0023,B240229_80F025640,1,0.5126,MEDIUM_CONFIDENCE,4,30,121,52324039.55,16
IBM_POS_0024,B513_801947FF0,1,1.0,HIGH_CONFIDENCE,3,9637,20128,13884083640.68,9607
IBM_POS_0025,B10057_803DE1580,1,0.7809,MEDIUM_CONFIDENCE,1,6,21,5494402.0,1
IBM_POS_0026,B129974_80FE25690,1,0.9361,HIGH_CONFIDENCE,2,11,40,3646882.58,2
IBM_POS_0027,B28_80A4AD6C0,1,0.2602,NORMAL,2,12,56,45016639.01,2
IBM_POS_0028,B132523_80CA77970,1,0.886,HIGH_CONFIDENCE,2,7,23,139724.76,1
IBM_POS_0029,B70_100428660,1,1.0,HIGH_CONFIDENCE,4,38135,186429,329948184247.86,12505
IBM_POS_0030,B11318_80118E680,1,0.8453,HIGH_CONFIDENCE,2,3,8,7840.6,1
IBM_POS_0031,B10_8001A6140,1,1.0,HIGH_CONFIDENCE,4,9691,20326,12800371122.46,9639
IBM_POS_0032,B133686_80C734F80,1,0.9977,HIGH_CONFIDENCE,4,542,1108,12506268897.86,534
IBM_POS_0033,B1655_80832A480,1,0.9948,HIGH_CONFIDENCE,2,2,4,1363322.8,1
IBM_POS_0034,B795_80BAEB330,1,0.3168,NORMAL,2,13,61,17730340.21,3
IBM_POS_0035,B2915_800A3E5A0,1,0.5929,MEDIUM_CONFIDENCE,2,60,73,1904262.73,0
IBM_POS_0036,B222697_8085DD9A0,1,0.9948,HIGH_CONFIDENCE,2,2,4,53282.64,1
IBM_POS_0037,B18405_806DA0590,1,0.5254,MEDIUM_CONFIDENCE,4,28,132,2494849609.3,5
IBM_POS_0038,B2591_80A1C7710,1,1.0,HIGH_CONFIDENCE,3,12801,54229,29717565716.78,5000
IBM_POS_0039,B32405_810D9E7B0,1,0.1921,NORMAL,1,12,48,1025669.75,1
IBM_POS_0040,B1547_8004FBC70,1,0.9557,HIGH_CONFIDENCE,2,2,6,68623.54,1
IBM_POS_0041,B1124_8079EC940,1,0.9091,HIGH_CONFIDENCE,2,6,20,1739553.78,1
IBM_POS_0042,B23_8002A0E00,1,0.8946,HIGH_CONFIDENCE,2,3,6,65196.22,1
IBM_POS_0043,B148350_811FFF630,1,0.9979,HIGH_CONFIDENCE,3,488,1043,915644188.28,470
IBM_POS_0044,B223_812D1A410,1,0.9021,HIGH_CONFIDENCE,2,11,20,1435555.24,1
IBM_POS_0045,B112078_808DE9400,1,0.3893,NORMAL,1,7,26,281204453.54,0
IBM_POS_0046,B21387_811B12170,1,1.0,HIGH_CONFIDENCE,3,12800,54231,29716874375.79,4998
IBM_POS_0047,B16606_8064545E0,1,0.7807,HIGH_CONFIDENCE,2,2,2,24662.0,1
IBM_POS_0048,B28663_80A976860,1,0.4542,NORMAL,2,21,91,22699258.16,4
IBM_POS_0049,B1_8010AA4F0,1,0.2984,NORMAL,2,14,61,964938.03,6
IBM_POS_0050,B13157_805CA5A30,1,0.9866,HIGH_CONFIDENCE,2,11,40,1200101.32,2
IBM_POS_0051,B40836_80F6B88B0,1,0.2646,NORMAL,2,14,52,1351834.03,5
IBM_POS_0052,B19593_8038A9100,1,0.9579,HIGH_CONFIDENCE,2,4,12,43574.42,1
IBM_POS_0053,B3123_809FB9990,1,0.184,NORMAL,1,6,33,3786615.52,1
IBM_POS_0054,B21174_800776AF0,1,0.871,HIGH_CONFIDENCE,2,6,14,180151.47,1
IBM_POS_0055,B12_800C050D0,1,0.9986,HIGH_CONFIDENCE,4,491,1012,77563948667.01,482
IBM_POS_0056,B225215_809852800,1,0.965,HIGH_CONFIDENCE,2,9,28,326254.66,2
IBM_POS_0057,B29_80DAFF780,1,0.541,MEDIUM_CONFIDENCE,1,13,48,25513119.22,3
IBM_POS_0058,B9129_80B4D3030,1,0.94,HIGH_CONFIDENCE,2,3,8,3859.3,1
IBM_POS_0059,B70_100428858,1,0.9994,HIGH_CONFIDENCE,4,2507,12023,8008918407.78,831
IBM_POS_0060,B213952_806D47B10,1,1.0,HIGH_CONFIDENCE,3,21570,91418,85699381333.51,8520
IBM_POS_0061,B410_802D878C0,1,0.9948,HIGH_CONFIDENCE,2,2,4,28235.32,1
IBM_POS_0062,B125906_80D8F53F0,1,0.9424,HIGH_CONFIDENCE,2,14,50,992664.76,2
IBM_POS_0063,B17401_80D179410,1,0.3125,NORMAL,2,18,79,11135107.57,6
IBM_POS_0064,B251395_8144F8300,1,0.9334,HIGH_CONFIDENCE,2,12,38,182758.18,1
IBM_POS_0065,B20861_80940A1D0,1,0.7807,HIGH_CONFIDENCE,2,2,2,592.58,1
IBM_POS_0066,B22828_80C627820,1,0.6054,MEDIUM_CONFIDENCE,1,5,22,14688517.34,0
IBM_POS_0067,B223645_80FBCC760,1,0.9361,HIGH_CONFIDENCE,2,5,15,41802.53,1
IBM_POS_0068,B120046_80DA3D3F0,1,0.5683,MEDIUM_CONFIDENCE,4,72,246,15205950.72,4
IBM_POS_0069,B117698_80D4B5530,1,0.7807,HIGH_CONFIDENCE,2,2,2,12182.1,1
IBM_POS_0070,B21174_800737690,1,1.0,HIGH_CONFIDENCE,4,1105,2348,3719448727.32,1074
IBM_POS_0071,B150240_812D22980,1,1.0,HIGH_CONFIDENCE,4,1062,4432,3163767882.8,396
IBM_POS_0072,B6179_805B5BC60,1,0.7047,HIGH_CONFIDENCE,2,10,37,870365.68,1
IBM_POS_0073,B23331_809022C20,1,0.4015,NORMAL,2,8,27,114029.4,3
IBM_POS_0074,B213_8091A58E0,1,0.8604,HIGH_CONFIDENCE,2,6,19,593966.55,1
IBM_POS_0075,B19329_80DEF3AB0,1,0.253,NORMAL,3,27,100,9609582.74,13
IBM_POS_0076,B24779_8090EE1D0,1,0.6625,MEDIUM_CONFIDENCE,1,8,31,1232836.47,0
IBM_POS_0077,B116_80F1AF380,1,0.7084,HIGH_CONFIDENCE,2,12,55,1272342.51,1
IBM_POS_0078,B12_800054B70,1,0.9006,HIGH_CONFIDENCE,2,10,34,105551375.45,5
IBM_POS_0079,B27954_80CC4B000,1,0.9493,HIGH_CONFIDENCE,2,3,8,40951.66,1
IBM_POS_0080,B49365_812A09D40,1,0.9983,HIGH_CONFIDENCE,3,481,1003,917232258.22,469
IBM_POS_0081,B1244_800ACE160,1,0.6124,MEDIUM_CONFIDENCE,4,81,318,214150814.19,13
