complaint_id,split
IBM_NEG_00965,train
IBM_NEG_03214,train
IBM_NEG_02272,train
IBM_POS_03304,train
IBM_NEG_02006,train
IBM_NEG_02614,train
IBM_NEG_01575,train
IBM_NEG_03402,train
IBM_NEG_01086,train
IBM_NEG_03487,train
IBM_NEG_02926,train
IBM_NEG_00336,train
IBM_POS_00768,train
IBM_NEG_02295,train
IBM_NEG_00074,train
IBM_NEG_03693,train
IBM_NEG_00033,train
IBM_NEG_00089,train
IBM_NEG_01137,train
IBM_NEG_02100,train
IBM_NEG_02490,train
IBM_POS_03477,train
IBM_NEG_01266,train
IBM_NEG_00081,train
IBM_NEG_01128,train
IBM_NEG_00744,train
IBM_NEG_02056,train
IBM_NEG_02369,train
IBM_NEG_00538,train
IBM_NEG_01470,train
IBM_POS_01501,train
IBM_NEG_01382,train
IBM_NEG_00827,train
IBM_NEG_02432,train
IBM_NEG_02779,train
IBM_NEG_00516,train
IBM_NEG_02654,train
IBM_NEG_02712,train
IBM_NEG_00933,train
IBM_POS_00951,train
IBM_NEG_03445,train
IBM_NEG_00426,train
IBM_NEG_02609,train
IBM_NEG_00399,train
IBM_POS_00424,train
IBM_NEG_00374,train
IBM_NEG_02204,train
IBM_NEG_02123,train
IBM_NEG_02904,train
IBM_NEG_01540,train
IBM_NEG_03648,train
IBM_NEG_01051,train
IBM_NEG_03531,train
IBM_NEG_00603,train
IBM_NEG_01561,train
IBM_NEG_02255,train
IBM_NEG_00627,train
IBM_NEG_02059,train
IBM_POS_02476,train
IBM_NEG_03131,train
IBM_NEG_01897,train
IBM_NEG_03548,train
IBM_NEG_00276,train
IBM_POS_00343,train
IBM_NEG_01556,train
IBM_NEG_03049,train
IBM_NEG_01588,train
IBM_NEG_01412,train
IBM_NEG_00971,train
IBM_NEG_03586,train
IBM_NEG_03429,train
IBM_NEG_01519,train
IBM_NEG_00700,train
IBM_NEG_01531,train
IBM_NEG_01758,train
IBM_NEG_02415,train
IBM_NEG_01633,train
IBM_NEG_02373,train
IBM_POS_00443,train
IBM_POS_00261,train
IBM_NEG_02075,train
IBM_NEG_02559,train
IBM_POS_01861,train
IBM_NEG_01057,train
IBM_NEG_03348,train
IBM_NEG_02365,train
IBM_NEG_02720,train
IBM_NEG_00323,train
IBM_POS_03587,train
IBM_NEG_02637,train
IBM_POS_01549,train
IBM_NEG_01216,train
