complaint_id,incident_entity_id,graphsage_probability,top_3_predicted_atms,top_predicted_city,top_terminal_score,actual_cash_out_atms,rank_of_first_correct_atm
C000014,ENT_000292,0.9235,ATM_018,Bengaluru,0.8199,ATM_018,1
C000024,ENT_000425,0.9775,ATM_015,Chandigarh,0.8302,ATM_015,1
C000057,ENT_000547,0.9902,ATM_043,Chennai,0.8428,ATM_043,1
C000076,ENT_000173,0.3322,ATM_029,Mumbai,0.5459,ATM_029,1
C000094,ENT_000020,0.9985,ATM_019,Mumbai,0.7554,ATM_019,1
C000124,ENT_000626,0.9965,"ATM_009, ATM_039, ATM_002",Jaipur,0.7377,"ATM_002, ATM_009, ATM_039",1
C000156,ENT_000146,0.9967,ATM_009,Jaipur,0.6953,ATM_009,1
C000178,ENT_000537,1.0,ATM_012,Patna,0.9128,ATM_012,1
C000196,ENT_000103,0.9855,ATM_037,Mumbai,0.8759,ATM_037,1
C000234,ENT_000581,0.9999,ATM_018,Bengaluru,0.6187,ATM_018,1
C000294,ENT_000064,0.8885,ATM_033,Bengaluru,0.7079,ATM_033,1
C000329,ENT_000172,0.9996,ATM_005,Kochi,0.8221,ATM_005,1
