transaction_id,sender_entity_id,receiver_entity_id,amount,timestamp,transaction_type,channel,sender_state,receiver_state,is_cash_out,is_suspicious,ring_id
T000001,ENT_000550,ENT_000412,322804.63,2026-01-01 05:13:57,RTGS,Bank Branch,Gujarat,Odisha,0,0,NORMAL
T000002,ENT_000418,ENT_000613,55186.74,2026-01-01 06:18:00,UPI,UPI App,Tamil Nadu,Odisha,0,1,RING_002
T000003,ENT_000395,ENT_000101,3222.29,2026-01-01 06:22:21,IMPS,Mobile Banking,Telangana,Uttar Pradesh,0,0,NORMAL
T000004,ENT_000178,ENT_000339,2050.1,2026-01-01 06:34:24,IMPS,Mobile Banking,Gujarat,Tamil Nadu,0,0,NORMAL
T000005,ENT_000632,ENT_000370,503.03,2026-01-01 06:46:46,UPI,UPI App,Rajasthan,Telangana,0,0,NORMAL
T000006,ENT_000106,ENT_000613,52785.33,2026-01-01 06:47:00,IMPS,Mobile Banking,Uttar Pradesh,Odisha,0,1,RING_002
T000007,ENT_000532,ENT_000616,3437.7,2026-01-01 06:51:12,UPI,UPI App,Delhi,West Bengal,0,0,NORMAL
T000008,ENT_000027,ENT_000613,57212.66,2026-01-01 07:02:00,IMPS,Mobile Banking,West Bengal,Odisha,0,1,RING_002
T000009,ENT_000121,ENT_000502,4388.24,2026-01-01 07:16:18,UPI,UPI App,Maharashtra,Odisha,0,0,NORMAL
T000010,ENT_000092,ENT_000613,54686.88,2026-01-01 07:17:00,UPI,UPI App,Maharashtra,Odisha,0,1,RING_002
T000011,ENT_000363,ENT_000613,54905.72,2026-01-01 07:30:00,IMPS,Mobile Banking,Bihar,Odisha,0,1,RING_002
T000012,ENT_000185,ENT_000362,429.94,2026-01-01 07:40:28,CARD,Internet Banking,Odisha,Delhi,0,0,NORMAL
T000013,ENT_000568,ENT_000613,55199.52,2026-01-01 07:54:00,UPI,UPI App,Odisha,Odisha,0,1,RING_002
T000014,ENT_000096,ENT_000613,51374.88,2026-01-01 08:10:00,IMPS,Mobile Banking,Uttar Pradesh,Odisha,0,1,RING_002
T000015,ENT_000686,ENT_000102,11044.44,2026-01-01 08:13:00,IMPS,Internet Banking,Bihar,Maharashtra,0,0,NORMAL
T000016,ENT_000612,ENT_000613,52550.59,2026-01-01 08:24:00,UPI,UPI App,Madhya Pradesh,Odisha,0,1,RING_002
T000017,ENT_000526,ENT_000191,1361.15,2026-01-01 08:29:25,UPI,UPI App,Kerala,Telangana,0,0,NORMAL
T000018,ENT_000369,ENT_000544,1742.44,2026-01-01 09:10:05,CARD,Internet Banking,Maharashtra,Rajasthan,0,0,NORMAL
T000019,ENT_000144,ENT_000186,35090.62,2026-01-01 09:11:14,IMPS,Mobile Banking,Rajasthan,Tamil Nadu,0,0,NORMAL
T000020,ENT_000613,ATM_025,412312.15,2026-01-01 09:55:00,CASH_WITHDRAWAL,ATM,Odisha,Karnataka,1,1,RING_002
T000021,ENT_000187,ENT_000059,2455.52,2026-01-01 10:58:42,UPI,UPI App,Tamil Nadu,Odisha,0,0,NORMAL
T000022,ENT_000312,ENT_000503,21460.49,2026-01-01 11:09:50,NEFT,Internet Banking,Delhi,Rajasthan,0,0,NORMAL
T000023,ENT_000081,ENT_000566,29575.08,2026-01-01 11:14:48,IMPS,Mobile Banking,Tamil Nadu,Kerala,0,0,NORMAL
T000024,ENT_000061,ENT_000119,4560.96,2026-01-01 12:22:02,UPI,UPI App,Rajasthan,Punjab,0,0,NORMAL
T000025,ENT_000296,ENT_000494,40157.45,2026-01-01 12:39:49,NEFT,Bank Branch,Karnataka,Madhya Pradesh,0,0,NORMAL
T000026,ENT_000210,ENT_000632,2506.22,2026-01-01 12:58:47,IMPS,Mobile Banking,Maharashtra,Rajasthan,0,0,NORMAL
T000027,ENT_000399,ENT_000278,2396.69,2026-01-01 13:56:49,UPI,UPI App,Maharashtra,West Bengal,0,0,NORMAL
T000028,ENT_000556,ENT_000583,883.58,2026-01-01 14:11:31,UPI,UPI App,Maharashtra,Punjab,0,0,NORMAL
T000029,ENT_000106,ENT_000374,1750.42,2026-01-01 14:52:01,UPI,UPI App,Uttar Pradesh,Maharashtra,0,0,NORMAL
T000030,ENT_000515,ENT_000032,2320.85,2026-01-01 15:17:50,UPI,UPI App,Odisha,Karnataka,0,0,NORMAL
T000031,ENT_000589,ENT_000112,4907.17,2026-01-01 15:54:29,UPI,UPI App,Telangana,Delhi,0,0,NORMAL
T000032,ENT_000133,ENT_000042,39640.45,2026-01-01 15:55:32,IMPS,Mobile Banking,West Bengal,Karnataka,0,0,NORMAL
T000033,ENT_000021,ENT_000186,26753.32,2026-01-01 16:39:01,IMPS,Internet Banking,Telangana,Tamil Nadu,0,0,NORMAL
T000034,ENT_000370,ENT_000325,111898.04,2026-01-01 16:45:27,UPI,UPI App,Telangana,Bihar,0,1,RING_003
T000035,ENT_000143,ENT_000384,1908.02,2026-01-01 17:21:52,UPI,UPI App,Odisha,Bihar,0,0,NORMAL
T000036,ENT_000304,ENT_000274,1185.33,2026-01-01 17:23:50,UPI,UPI App,Bihar,Karnataka,0,0,NORMAL
T000037,ENT_000370,ENT_000136,111512.39,2026-01-01 17:27:27,NEFT,Internet Banking,Telangana,West Bengal,0,1,RING_003
T000038,ENT_000500,ENT_000590,1522.88,2026-01-01 17:35:07,UPI,UPI App,Madhya Pradesh,Punjab,0,0,NORMAL
T000039,ENT_000370,ENT_000397,109062.74,2026-01-01 17:49:27,IMPS,Mobile Banking,Telangana,West Bengal,0,1,RING_003
T000040,ENT_000325,ATM_024,108325.32,2026-01-01 17:53:27,CASH_WITHDRAWAL,ATM,Bihar,Punjab,1,1,RING_003
T000041,ENT_000285,ATM_036,632.78,2026-01-01 17:53:30,CASH_WITHDRAWAL,ATM,Bihar,Maharashtra,1,0,NORMAL
T000042,ENT_000128,ENT_000064,4086.14,2026-01-01 17:54:47,CARD,POS,Kerala,Odisha,0,0,NORMAL
T000043,ENT_000041,ENT_000399,33480.09,2026-01-01 18:00:34,NEFT,Bank Branch,Maharashtra,Maharashtra,0,0,NORMAL
T000044,ENT_000190,ENT_000133,3366.65,2026-01-01 18:01:16,UPI,UPI App,Uttar Pradesh,West Bengal,0,0,NORMAL
T000045,ENT_000068,ENT_000012,36255.23,2026-01-01 18:13:45,NEFT,Bank Branch,Punjab,Telangana,0,0,NORMAL
T000046,ENT_000370,ENT_000583,112098.55,2026-01-01 18:15:27,NEFT,Internet Banking,Telangana,Punjab,0,1,RING_003
T000047,ENT_000136,ATM_024,106407.27,2026-01-01 18:35:27,CASH_WITHDRAWAL,ATM,West Bengal,Punjab,1,1,RING_003
T000048,ENT_000397,ATM_035,105691.13,2026-01-01 18:40:27,CASH_WITHDRAWAL,ATM,West Bengal,Tamil Nadu,1,1,RING_003
T000049,ENT_000062,ENT_000231,4069.04,2026-01-01 18:44:18,UPI,UPI App,Maharashtra,Punjab,0,0,NORMAL
T000050,ENT_000236,ENT_000684,1921.77,2026-01-01 18:55:57,UPI,UPI App,Punjab,Maharashtra,0,0,NORMAL
T000051,ENT_000058,ENT_000183,45320.8,2026-01-01 19:17:12,IMPS,Mobile Banking,Delhi,Karnataka,0,0,NORMAL
T000052,ENT_000600,ENT_000200,4778.91,2026-01-01 19:18:39,CARD,Internet Banking,Uttar Pradesh,Bihar,0,0,NORMAL
T000053,ENT_000583,ATM_035,106531.95,2026-01-01 19:34:27,CASH_WITHDRAWAL,ATM,Punjab,Tamil Nadu,1,1,RING_003
T000054,ENT_000338,ENT_000013,2509.31,2026-01-01 19:36:23,UPI,UPI App,Karnataka,Kerala,0,0,NORMAL
T000055,ENT_000285,ENT_000378,3478.41,2026-01-01 19:38:27,UPI,UPI App,Bihar,Karnataka,0,0,NORMAL
T000056,ENT_000278,ENT_000075,1664.93,2026-01-01 19:56:08,IMPS,Mobile Banking,West Bengal,Delhi,0,0,NORMAL
T000057,ENT_000025,ENT_000051,258708.4,2026-01-01 20:15:21,NEFT,Bank Branch,Punjab,Punjab,0,0,NORMAL
T000058,ENT_000141,ENT_000517,1450.45,2026-01-01 20:16:55,IMPS,Mobile Banking,Maharashtra,Bihar,0,0,NORMAL
T000059,ENT_000653,ENT_000149,101.27,2026-01-01 21:53:32,UPI,UPI App,Odisha,Bihar,0,0,NORMAL
T000060,ENT_000180,ENT_000666,1891.54,2026-01-01 22:32:26,UPI,UPI App,Madhya Pradesh,Uttar Pradesh,0,0,NORMAL
T000061,ENT_000262,ENT_000278,906.59,2026-01-01 22:35:01,UPI,UPI App,Rajasthan,West Bengal,0,0,NORMAL
T000062,ENT_000200,ENT_000503,53637.91,2026-01-01 22:48:16,IMPS,Mobile Banking,Bihar,Rajasthan,0,1,RING_014
T000063,ENT_000459,ENT_000595,6333.36,2026-01-01 22:54:28,NEFT,Bank Branch,Tamil Nadu,Uttar Pradesh,0,0,NORMAL
T000064,ENT_000277,ENT_000037,416.76,2026-01-01 23:02:13,UPI,UPI App,Punjab,Maharashtra,0,0,NORMAL
T000065,ENT_000418,ENT_000613,52282.84,2026-01-01 23:03:02,UPI,UPI App,Tamil Nadu,Odisha,0,1,RING_002
T000066,ENT_000200,ENT_000326,49511.92,2026-01-01 23:27:16,IMPS,Mobile Banking,Bihar,Maharashtra,0,1,RING_014
T000067,ENT_000106,ENT_000613,50600.14,2026-01-01 23:42:02,IMPS,Mobile Banking,Uttar Pradesh,Odisha,0,1,RING_002
T000068,ENT_000027,ENT_000613,51874.78,2026-01-01 23:56:02,IMPS,Mobile Banking,West Bengal,Odisha,0,1,RING_002
T000069,ENT_000092,ENT_000613,53241.46,2026-01-02 00:19:02,UPI,UPI App,Maharashtra,Odisha,0,1,RING_002
T000070,ENT_000363,ENT_000613,47697.17,2026-01-02 01:00:02,IMPS,Mobile Banking,Bihar,Odisha,0,1,RING_002
T000071,ENT_000568,ENT_000613,49906.46,2026-01-02 01:31:02,UPI,UPI App,Odisha,Odisha,0,1,RING_002
T000072,ENT_000503,ENT_000618,51492.39,2026-01-02 01:50:16,UPI,UPI App,Rajasthan,Uttar Pradesh,0,1,RING_014
T000073,ENT_000096,ENT_000613,51816.34,2026-01-02 02:12:02,UPI,UPI App,Uttar Pradesh,Odisha,0,1,RING_002
T000074,ENT_000612,ENT_000613,46358.14,2026-01-02 02:24:02,IMPS,Mobile Banking,Madhya Pradesh,Odisha,0,1,RING_002
T000075,ENT_000326,ENT_000618,47531.44,2026-01-02 02:25:16,UPI,UPI App,Maharashtra,Uttar Pradesh,0,1,RING_014
T000076,ENT_000613,ATM_025,388933.9,2026-01-02 03:02:02,CASH_WITHDRAWAL,ATM,Odisha,Karnataka,1,1,RING_002
T000077,ENT_000618,ENT_000620,94897.84,2026-01-02 03:40:16,NEFT,Internet Banking,Uttar Pradesh,Rajasthan,0,1,RING_014
T000078,ENT_000620,ATM_010,92050.91,2026-01-02 04:18:16,CASH_WITHDRAWAL,ATM,Rajasthan,Uttar Pradesh,1,1,RING_014
T000079,ENT_000267,ENT_000096,993.81,2026-01-02 04:47:52,IMPS,Mobile Banking,Odisha,Uttar Pradesh,0,0,NORMAL
T000080,ENT_000666,ENT_000669,2378.77,2026-01-02 05:17:19,UPI,UPI App,Uttar Pradesh,Maharashtra,0,0,NORMAL
T000081,ENT_000417,ENT_000572,14061.17,2026-01-02 07:00:42,IMPS,Internet Banking,West Bengal,Maharashtra,0,0,NORMAL
T000082,ENT_000297,ENT_000601,975.74,2026-01-02 07:08:25,UPI,UPI App,Tamil Nadu,Telangana,0,0,NORMAL
T000083,ENT_000258,ENT_000528,700.92,2026-01-02 07:35:03,UPI,UPI App,Maharashtra,Bihar,0,0,NORMAL
T000084,ENT_000164,ENT_000395,17394.21,2026-01-02 07:56:31,NEFT,Bank Branch,Delhi,Telangana,0,0,NORMAL
T000085,ENT_000524,ENT_000049,29320.32,2026-01-02 08:46:07,NEFT,Bank Branch,Kerala,Kerala,0,0,NORMAL
T000086,ENT_000176,ENT_000627,1541.5,2026-01-02 08:59:35,IMPS,Mobile Banking,Gujarat,Rajasthan,0,0,NORMAL
T000087,ENT_000225,ENT_000351,3133.58,2026-01-02 09:46:24,UPI,UPI App,Madhya Pradesh,Gujarat,0,0,NORMAL
T000088,ENT_000241,ENT_000284,2475.04,2026-01-02 09:56:06,UPI,UPI App,Tamil Nadu,Uttar Pradesh,0,0,NORMAL
T000089,ENT_000617,ENT_000524,1037.67,2026-01-02 09:56:12,CARD,POS,Gujarat,Kerala,0,0,NORMAL
T000090,ENT_000043,ENT_000413,507.82,2026-01-02 10:04:49,UPI,UPI App,Karnataka,Telangana,0,0,NORMAL
T000091,ENT_000567,ENT_000182,2551.04,2026-01-02 10:39:30,UPI,UPI App,Bihar,Gujarat,0,0,NORMAL
T000092,ENT_000335,ENT_000185,2458.82,2026-01-02 10:47:48,UPI,UPI App,Telangana,Odisha,0,0,NORMAL
T000093,ENT_000468,ENT_000320,4601.05,2026-01-02 11:00:05,UPI,UPI App,Tamil Nadu,Tamil Nadu,0,0,NORMAL
