feature,importance
total_transaction_value,26.207670211791992
num_nodes,13.542319297790527
max_hop,13.385025024414062
num_edges,10.904905319213867
average_degree,6.646894931793213
num_account_nodes,6.169853210449219
max_transaction_value,3.8242263793945312
num_terminal_nodes,3.3005402088165283
avg_transaction_value,2.9450385570526123
num_atm_nodes,2.6166746616363525
num_cash_out_edges,2.5269618034362793
out_degree_incident,2.2626230716705322
in_degree_incident,1.7106176614761353
density,1.398003101348877
number_of_connected_components,0.0
